862,Animation
862,Comedy
862,Family
8844,Adventure
8844,Fantasy
8844,Family
15602,Romance
15602,Comedy
31357,Comedy
31357,Drama
31357,Romance
11862,Comedy
949,Action
949,Crime
949,Drama
949,Thriller
11860,Comedy
11860,Romance
45325,Action
45325,Adventure
45325,Drama
45325,Family
9091,Action
9091,Adventure
9091,Thriller
710,Adventure
710,Action
710,Thriller
9087,Comedy
9087,Drama
9087,Romance
12110,Comedy
12110,Horror
21032,Family
21032,Animation
21032,Adventure
10858,History
10858,Drama
1408,Action
1408,Adventure
524,Drama
524,Crime
4584,Drama
4584,Romance
5,Crime
5,Comedy
9273,Crime
9273,Comedy
9273,Adventure
11517,Action
11517,Comedy
11517,Crime
8012,Comedy
8012,Thriller
8012,Crime
1710,Drama
1710,Thriller
9691,Action
9691,Adventure
9691,Crime
9691,Thriller
12665,Drama
12665,Fantasy
12665,Science Fiction
12665,Thriller
451,Drama
451,Romance
16420,Drama
9263,Comedy
9263,Drama
9263,Family
17015,Drama
17015,Romance
902,Fantasy
902,Science Fiction
902,Adventure
37557,Drama
37557,Crime
9909,Drama
9909,Crime
63,Science Fiction
63,Thriller
63,Mystery
78802,Romance
78802,Adventure
9598,Fantasy
9598,Drama
9598,Comedy
9598,Family
47018,History
47018,Drama
47018,Romance
687,Drama
139405,Adventure
139405,History
139405,Drama
139405,Family
33689,Comedy
33689,Family
33689,Romance
